region,subregion
"Africa","Northern Africa"
"Africa","Sub-Saharan Africa"
"Americas","Latin America and the Caribbean"
"Americas","North America"
"Asia","Central Asia"
"Asia","Eastern Asia"
"Asia","South-Eastern Asia"
"Asia","Southern Asia"
"Asia","Western Asia"
"Europe","Eastern Europe"
"Europe","Northern Europe"
"Europe","Southern Europe"
"Europe","Western Europe"
"Latin America and the Caribbean","Caribbean"
"Latin America and the Caribbean","Central America"
"Latin America and the Caribbean","South America"
"Northern Europe","Channel Islands"
"Oceania","Australia and New Zealand"
"Oceania","Melanesia"
"Oceania","Micronesia"
"Oceania","Polynesia"
"Sub-Saharan Africa","Eastern Africa"
"Sub-Saharan Africa","Middle Africa"
"Sub-Saharan Africa","Southern Africa"
"Sub-Saharan Africa","Western Africa"

